text,label,category
ewka spoko fakt wjebalać raz zdanie człowiek gorsza marty xdd,1,5
1000 followers obiecować wykorzystać zasięgi szerzyć nienawiść czynić zło dziękować zaufanie,0,5
drugi sezon pokazać stoimy miejsce inny biec przód koniec porażka star kubć być zimny woda łeb zapoczątkować rozmowa naprawdę zakończyć dopiero wczoraj zmiana potrzebny ciężki decyzja musieć zostać podjąć miejsce chcieć serdecznie podziękować mordeczka jesteśta super chłopak wnieść drużyna doświadczeć zostaliście wicemistrz barwa b2tg być część nasz esportowy rodzina życzyć sam sukces mordeczka kiedyś spotkać rifcie móc domyślić nowy sezon wchodzić odświeżć ekipa zmiana nastąpić pozycja trener mida support zapewnić mistrzostwo wiedzieć obiecać móc nadziejy patrzyć następny sezon nadzieja być kibicować pora,0,5
śledzić mój działalność wiedzieć najwyższy wartość dobro drugi człowiek wzajemny szacunek razem wzywać redakcja podpisać ósemki tomasha dusiciel zwać ii deklaracja toruński toruni historia patrzeć przyszły pokolenie oceni zależeć być pamiętać dzień początek dobry zmiana powiew świeży powietrze przebijać promień wiosenny słońce burzowy chmuryczy zapamiętać dzień hańba,0,5
shake waniliowy maka niedobry jakby być płynny cukier pić paskudztwo,0,5
pamiętajć wszelki zło rift legends imię damiana ziajać nervarien każdy błędny decyzja każdy niegodziwość sprawka przerw komentowan lig świat damian pogrążyć ciemność owładnięty mrokie nienawiść snować swój posępny plan zimny krew pełny pogarda sabotować dobry,1,5
woda gazować najgorszym gówno dać pic syfu wyłącznie niegazować,0,5
pierdolić legendek xd odejść skorumpowany klub kibic życzyć wszystko najgorszego klub tradycja szanować wspierać efekt dać paryż upragniyć liga mistrz sprawiedliwy świat wygrać by złoty piłka 17,1,5
wioza berlin warszawy pomnik tusk,1,5
Maria 102 rok 7 miesiąc 21 dzień założyć korale pójść oddać głos ii tura wybory prezydencki wiedzieć demokracja działać bierzemy udział czekaj iść głosuj,0,5
członek komisja nieważny głosować ważny liczyć głos stalina pełny kryć yny,1,5
szczęście niepoważć osoba człowiek klasa komisja korać mask zorro powinien leżeć prince polo ziemniak przeciwny raz podważać zaufanie człowiek właściwie weryfikowany liczyć,0,5
widzieć napisać być Europa obrazić być nikt wyzywać polmozgow typowy zero poziom kultura najgorsze zero patriotyzm chyba europejski,1,5
psg zdobyć liga mistrz potrzebny galaktyczny nazwisko pokrój messiy neymarać mbappéa drużyna gwiazda,0,5
zastanawiać być startować niewiedza wynik mój ignorancja słab promocja turniej pozdrawiać dejf cieplutko,0,5
wiemy przeciek widz Goe kibicować fms nienawiść redaktor zwycięży słuchać 10 zajebisty pozdrawiać,0,5
Polska zabić żołnierz granica dźgać przechodzień nóż strzelać przypadkowy polak wolno skrytykować p owsiak pewno wolno strój batmano wywiesić baner przeciwko pan trzaskowskiy pomyśleć myślozbrodnie,1,5
niniejszy popierać cały rozciągłość opinia korwin popierać każdy zdanie każdy słowo każdy litera duży mały kropek,0,5
przyjść program znaleźć bolec,1,5
rocznik 2014 dziecko nic przeżyć gowno wiedza zyciu tymczasem któro przeżyła awarie facebook poszukiwanie klaun koszalinać pandor gate rozpad ekipa frizać śmierć bronisław komorowskiy odejscie kostka gena odejscie buddy yt,1,5
przezylom wiedzieć kto mieć czynienie,1,5
wiadomo buźka topka fajny duży cyka niski blondynka typowy archetyp seks bomba xdd porównanie any de armas monika belucci,1,5
ana de armas dobry chcieć by być sydney udusić ten wielki cyc dojaco by być dorwać by być ssać dzień,1,5
obrazek narysować dwumiesięczny transseksualny córeczka,1,5
debil pierdolić odebrać by być prawo głos przyszłość akcja gratulować rodzina zryty beret udostępnić swój karta,1,5
oglądać kolejny raz walka Mateusz gamrota ciasno trzymać niewiele miejsce zostawiać koci ruch matiy koszmar rywać dołożyć praca słowo pochwać wielokrotny cormier skill zapaśniczym coś świadczyć,0,5
z10 zrzucać losowani kiepsko widzieć 2 team turcja półfinalista zeszły edycja,0,5
prosze spierdolony umysłowo osoba t5m3 wyjebć prosze,1,5
wyjebiać odraz komentarz dzięki najpierw wyjebiać nudny wyróżniać późno dopiero imo,0,5
wreszcie znikniesz życie dziad,1,5
dupa se korale włóżcie,1,5
1 czerwiec dzień dziecko drugi początek miesiąc gej taki,1,5
precz ustawke dostarczan kurew okradanie stary człowiek mieszkanie chłop myśl zagłosować tęczowego polak wygrać kandydat być mieć białoczerwony front ruski zły,1,5
incel prawiczek cioto widzieć być dotąd screen wiadomość dziewczyn zatem móc stuprocentowo pewny,1,5
niezła analiza terrorysta szkoda widzowie kondomskiy zrozumieć 90 słowo tekst,1,5
pedal przeczytać być cały robić kondomsky dopuszczalny niesamowity analiza osobnik człowiek nazwac co inny spodziewać legenda,1,5
kurwa rozjebales szefie jebać kondomskiy frajer naczelny mistrz propaganda manipulacja 12 latk skrzywdzony dzieciństwie pezyjebać stary dziecko oglądać konopskiy oddajcie dom dziecko kurwa chocie pobijcie pozdro,1,5
marcin być głos rozsądek świat pełny hipokryzja mocny narracja konkretny argument odwag powiedzieć myśl trzymać poziom odpuszczaj kraj potrzebować taki głos,0,5
duży gwiazda polski hip hopu musieć być rozwiązać muzycznie przepraszać próbować być tłumaczyć jakiś sfrustrowany pedała szeryfom internetowy nadawać napierdalanie głowa,1,5
alimenciarz nawrota dziwny,1,5
ostatni raz śmiecie amerykański być być Polska skoro ostatni 8 rok rządzić pis wielki patrioto wrócić być kraj pseudo polaczka ameryka idź se biga maca zjedz,1,5
dobry uspokój spermiarz moge słuchać,1,6
chwila rozmawiać być adam dochodza wniosek zwykły stulejarz,1,6
wystarczyć kiwnę palec każdy posyłka zrobić simp,1,6
widzieć ubrać transiara xd,1,6
wczoraj być być randka chłopak okazać bad boy,0,6
tata sześćdziesiątka,1,6
chłopak totalny esse,0,6
siostra onlyfansiaro mama,1,6
wyglądać zdjęcie jakby być zajebać 5 szczur,1,6
widać mama czas licealny lubia noska przywalić,1,6
ostatnio bawić być twój matka brzoskwiń walić grucha,1,6
messi totalny goatcik widziałeś zrobić,0,6
siostra lubić wysyłać nudeski zwykło nudesiara,1,6
chcieć widzieć czarnoksiężnik nadzieja rozumiemy,1,6
ostatnio zostać być okradziić pewien ciapak pewien,1,6
ostatnio obrzydliwy asfalt przeprowadzić nadzieja szybko zająć,1,6
każdy polka p0lki populacja ostatni drastycznie zwiększać,1,6
stary uwierzyć co dowiedzieć być okazywać seba kukold czaisz xd,1,6
widzieć być chłopak ponoć totalny chodząca sigma,0,6
zrobić dyskusja prosty 5headem,0,6
nikt ugotować Robert Makłowicz gigachad gotować,0,6
wypowiedź pomyśłać być relować chat zacząć spamić rel,0,6
pytać sądzić disie powiedzieć jd zwisać,1,6
myśleć pytanie cword,1,6
podchodzić dziewczyna widzieć być wydarzyć dojść taki rizzu życie by być powiedzieć,0,6
