text,label
"@FilipRdesinski @jozefmoneta Sprawdź chłopie w słowniku co oznacza słowo , którego używasz a potem się odzywaj.",0
@TSWislaCanPack zmieńcie se nazwe na profilu na insta bo się nazywacie Grzegorz Ożóg...,0
#Woronicza 17 poseł Halicki oburzony za Bolka.Naprawdè taki tępy czy tylko udaje idiotę?,1
„Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻,0
RT @bigstylesbear: „Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻,0
Ahnherr der Schtwätzer wykonawcy Von Spar\nhttps://t.co/SOtenSqIr0,0
@wodniak_t @niegrzeczny_zen @pigmalion55 Bierze cie cie pod chuj a ty sie produkujesz,0
@MarcinPo3 @tvp_info @KurskiPL Jak narazie to masz przywidzenia co nie zmienia faktu że cały czas jesteś idiotą.,1
@SKWK1906 Kiedy do licznika dojdą bilety z fan clubow?,0
@Wislocki_R A kto prowadzi zespół ? Będzie podany skład z tego meczu ?,0
"@TomaszSkory Główny powód to brak kasy, trzeba dać bogatym 500+,300+ i być bez godności i honoru",0
Zrobiłam takie Cv że ohohohoho,0
Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.,0
RT @JNizinkiewicz: Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.,0
@TomaszWerynski @JaNeK_4 nie gra bo jest Jovanović i Guilherme,0
@aga_floyd O tej godz. sporty szanuj ciało,0
Nikt nigdy nie rozsiewał takiego smrodu jak @KrystPawlowicz,1
Nikt cię tak dobrze nie ubierze jak matka chrzestna dziecino,0
@OnetWiadomosci @bweglarczyk Nikt tutaj nie chce plagiaciarzy kopiujących brytyjskich pisarzy.,0
@Angie777W A ksiądz co bierze 12 tyś za spowiedź przez tel?,0
"@zdzisawrodzik Koń też ma dużą głowę. Tylko wydaje mi się, że jest bardziej inteligentny niż Karczewski",0
@napalonywikary Pod i górę  pod wiatr to więcej niż k2,0
@EkstraStats Sędziowie VAR nie decydują o karnych 😉,0
"Jakiś program na TVN, nauka jazdy za kierownicą babcia śpiewa \""jadą jadą jadą świry jadą\"" jadą jadą jadą świry jadą\""",0
@rudy_1408 ta obecna Zary Larsson czy Pitbulla z ostatnich MŚ nie były złe :),0
(280 znaków w jednym zdaniu 🙈),0
@DolinaRoztoki po wahaniach wagi Kwacha wznoszę że to może być kapuścianka,0
@PrzemysawMicha2 @2x45info w tym sezonie razem z pucharem 12 meczy i 1 gol.Mójta więcej strzelił.Sorry patrze w statystyki.,0
@CPB_Dominik @Wojczyn @PrzemekLipka finały tblk były przyzwoicie sędziowane ?! Aha...,0
"@OlaNinja Taki miałam właśnie, teraz kupiłam z catrice",0
@ZelaznyPiotr to ich wymień.W czym problem ?,0
@Kasiek_KK @ko_mar8 @survi777 a ja mam ciepełko jak się przytule do swoich kotów :),0
"@kobuz3 Właśnie. Ilu! Najpierw odpowiedzmy sobie ma to pytanie,a potem dziwmy się zwycięstwu Zdanowskiej",0
"@mati_brama W jego przypadku statystyka przebiegniętych kilometrów nie ma znaczenia. Czy gra zajebiście, czy fatalnie, biega tyle samo.",0
"@StZerko @grzedzinski 100%, Mann też miał pełne prawo",0
@przeglad Kończyłeś już kilka razy 😂,0
@daria_utf Dzisiaj zajmujemy się WARiatem Krystyną ciekawe czy będzie płakał?,0
@Czupo1906 @Bogo136 @wiselka1981 @DamianDukat A co będzie jak Kuba nigdy niewroci?,0
@pisorgpl Tym w sejmie też? Banda hipokrytów i złodziei.,0
"W każdej z czterech grup będzie walka o zwycięstwo premiowane awansem do CLJ. Bardzo potrzebne rozwiązanie, brawo.",0
@luvmeidolsx Tak się poznałam z moim chłopakiem 😂 czasami warto,0
@rudy_1408 nelly furtado a tytuł forco czy cos takiego,0
"@JacekKarnowski Mów prawdę, kto was skrzywdził",0
@luvmyhnlzl jestem tu od 2013 xd,0
@JagaaFan Ta kadra to rocznik 2002,0
"Posiada sensor CGM , ciągły monitoring glikemii, w końcu.",0
"Jeszcze żaden Polak nie wystąpił w meczu gwiazd NBA, nie licząc Mietka Paciaciaka ;) Pomóżmy Marcinowi Gortatowi być 1 @MGortat #NBAVOTE",0
"RT @kabaretNeoNowka: Jeszcze żaden Polak nie wystąpił w meczu gwiazd NBA, nie licząc Mietka Paciaciaka ;) Pomóżmy Marcinowi Gortatowi być 1…",0
@Piechocinski No kurwa myślałem że na Podlasiu,0
"@HeelPiTeRo @JagielloniaNet Tak, to nawet lepsze rozwiązanie.",0
"@tvn24 @jbrudzinski Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔",0
"RT @OklinskiMirek: @tvn24 @jbrudzinski Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔",0
@przeszpieg Gdzie ja wtedy byłam? ;-),0
@przeglad @WislaKrakowSA @MateuszMiga Midze sie nudziło i se coś na kolanie napisał i macie sensacje,0
"@Jacek_Stanczyk Dzisiaj wrócił do treningów, czyli zdążyli 😉",0
"@sierpowy7 @Kardon1986_2 @Jagiellonia1920 @ViitorulFC Nie wiem, zerknij na 90minut",0
@Marku990 @Berni_Krynicka Z motłochem nie dyskutuję tylko daje bany. A Pani @Berni_Krynicka gratuluję obrońcy.,0
@10murzynkow możesz też zawsze po prostu zapytać kiedy się urodziłam. Albo wpisać hasztag #100latKasiaPawlak ;-),0
"@Matt_VaranN7 ale z kategoriami moim zdaniem przesadzają.Sponsor roku, serce, impreza ? Bez jaj",0
@BoniekZibi Prezes się cieszy ze Wisla odpadła bo w razie finału Legia-Wisla znów by musiał finał odwoływać,0
"Bratowa wysłała mi zdjęcie bratanicy z rozpoczęcia roku, idzie do pierwszej klasy, biedactwo nie wie co ją czeka",0
@WeszloCom szybkie pytanie do @K_Stanowski Ręka Sadloka była zagraniem umyślnym ?,0
@rafa_lebiedz24 Dzień w którym Abidal sprzedał i kupił A.Vidala 😉,0
@RadoslawNawrot Równie dobrze można gola stracić :),0
"@Marcin_Serocki Chorwaci przerżną w końcówce dogrywki, wiadomo.",0
"@MartaNiewierko Nasze dzieci będą zdegustwani, był taki PiS, taki @AndrzejDuda , historia populizmu i głupoty w latach 2015-2019, margines",0
"@MajewskiMichal O, myślałam, że nikt już nie używa \""mnie\"" tylko \""mi\"".",0
@PiotrKoszecki @rafa_lebiedz24 @fcutrecht Na nowym stadionie West Hamu też to widziałem.,0
@gosiasanetra @TDanisz zawodnik w sezonie może grać w barwach dwóch klubów więc jeszcze nic straconego :),0
ciekawe czy faktycznie jest taki zakład bo jeśli tak to nieźle XD,0
"@R_A_Ziemkiewicz Hehe, do gazu, hehe jeszcze jakieś emotikony wrzuć",1
"Qrwa!! I niech mi nikt nie mówi, że czary to jakiś zabobon!! Chłopaki mają sztywne nogi!",0
"Od 01.10.2018 każde sprawozdanie finansowe w formie elektronicznej, zgodne ze strukturą jpk",0
Na TVP Kraków padła właśnie informacja że rozmowy z potencjalnym kupcem Wisły przełożony z dziś na jutro.,0
RT @KrzysiekTSW: Na TVP Kraków padła właśnie informacja że rozmowy z potencjalnym kupcem Wisły przełożony z dziś na jutro.,0
@bizzlerxo NIECH JESZCZE DADZĄ LEKTORA I NA GŁÓWNA POSTAĆ MÓWIĄ NADZIEJA,0
RT @mommythirlwall: @bizzlerxo NIECH JESZCZE DADZĄ LEKTORA I NA GŁÓWNA POSTAĆ MÓWIĄ NADZIEJA,0
"@lovekrakowsport Nie no ludzie, żeby robić artykuł na temat jednego tweeta ?...",0
"@gregidzkowski Jak powiem, że pierwsze słysze, to będzie kompromitacja czy nie? 😄",0
"@R_A_Ziemkiewicz Usuń konto, wytrzeźwiej buduj od nowa",0
"@smok05 @gazeta_wyborcza @pisorgpl Sekta, cha, cha, cha, obudź się z hipnozy, jesteś bolszewikiem",1
Nie wstanę kurde nie ma opcji,0
"@przemszar @MCH_1906 Spokojnie, u mnie też Kaczarawa na kapitanie + Cvijanović :)",0
"niech ładny chłopiec z kręconymi włosami do mnie napisze: jutro, zaraz, teraz",0
"RT @GAGAXBOY: niech ładny chłopiec z kręconymi włosami do mnie napisze: jutro, zaraz, teraz",0
"@jaca_zet im ktoś gorzej widzi, dłużej musi czekać, choć ten, który widzi lepiej, dłużej poradzi sobie bez okularów. 😨",0
"@hug_me_justin_b Oj, no to powodzenia! Co tam będziesz musiała robić? 🤭",0
"@a_hrechorowicz @marcin_kedryna @ISzafranska @domidlugosz Chyba nie, Marcin mówił coś o '89.",0
"@bigiTSW Przeczytaj mojego kolejnego twitta to zobaczysz, że nie umknęło i co sądze o poziomie tego meczu.",0
"@KuczynskiM Tylko nie w dupę, to dla niektórych z nich byłaby przyjemność.",0
@niegrzeczny_zen @bweglarczyk Widać chcą wiecej polskich mord gotujacych koninę,0
@Fracho86 No to jak się przegrywa cały czas to lepiej przestać grać :),0
"@IzabelaKudela1 @tvp_info @NewsweekPolska Widzę, że sami się znajdują.",0
@wislaportal Napewno mam niezaktualizowanego może dlatego,0
"@Wixi93 @kamilkostogrys Smokowski mówił że Wisła ma piłkarzy 3 sortu, a Wieszczycki deprecjonował dobrą prace Kiko",0
"więc zaczynam oglądać Do wszystkich chłopców, których kochałam bo wszyscy o tym mówią i aż chcę to sprawdzić",0
"@MatkaPolka_ Ban,ban i jeszcze raz ban! Co za prymitywne dno!",0
"@KurskiPL @wirtualnapolska Jasne, bo debile oglądający tvpis płaczą tylko na m jak miłość",1
@janekx89 @J1906B @hanejko_p W stop klatkach widać ze jak by to było po stronie drugiej (legi) to karny by był,0
Zdrady stanu to Donald Tusk dopuścił się już w 2010 r kiedy dodał Rosjanom śledztwo w sprawie katastrofy smoleńskiej.,1
@tomekrog85 Na marginesie jestem córką biskupa,0
@Piechocinski Przejdzie historii: jak tworzyć kłamstwo w dobie powszechnego dostępu do informacji,0
@durczokk Od ok 8 lat używam kolejnych modeli HTC i nigdy mnie nie zawiodły.,0
@tvp_info @MorawieckiM Ty się oszuście i kłamco od nas odpierdol. My sobie damy radę bez twoich kłamstw,1
@MichalMichalak @hanejko_p @SzybkiBill1 odważne słowa jak na legioniste! 😂😂😂,0
@Doxycyklina1 @ElaKonAna Załatwi to jedno głosowanie w sejmie i żadne demonstracje nie będą miały na to wpływu.,0
@BielskiJon @modliszka30 @krzysztofbosak Krzyż celtycki w Irlandii debilu ma kompletnie inne znaczenie niż u neofaszystów.,0
"@MalaEmiE Coś w tym jest,bo ja też😁😁😁. I jeszcze bym dodał Dominisię W. której infantylizm mnie totalnie osłabia.",0
@TomaszSiemoniak @DanielSleboda Gdzie oni znajdują takich dupków,0
"mój stres zaczął się stresować swoim własnym stresem, które również się stresuje ja pierdole dość",0
"RT @JEONSlNS: mój stres zaczął się stresować swoim własnym stresem, które również się stresuje ja pierdole dość",0
"@janekx89 @bjmarchew @Marciniak_k @GrzesiuuPl @D_mca1 dojdzie Brlek, Stilić wróci do formy, obcokrajowcy się zaaklimatyzują i bedzie dobrze💪",0
@GrzegKrychowiak @daria_utf @13Szczesny13 Brawo grzechu za Twój powrót do żywych\n W Rosji pokaż swoją moc,0
@WonderW92953815 @Krzyszt44003177 @PatrykJaki @trzaskowski_ Wonder!! Chyba cię....😁😁😁😁😁.No dobra. Na jaki?😁😁😁,0
"@osakasensei Ja mam uczulenie na dobrą zmianę, ale to dłuższa historiac",0
"@MichalMichalak Różnicy nie ma, bo pisali wtedy, że nie można zsyłać zawodników do rezerw ;P",0
@lis_tomasz Żal ci biedaku??? Gdyby nie Kaczyński to by je twoi przyjaciele z PO rozkradl,1
RT @Gitsuloppl1: @lis_tomasz Żal ci biedaku??? Gdyby nie Kaczyński to by je twoi przyjaciele z PO rozkradl,1
Dobry dzień na przypomnienie sobie genezy gwiazdek na fladze #UE #deklaracjaRzymska,0
"Sekta kurwa, jakaś niepojęta radość, każde konto pisdzielskie tylko o jednym",1
"@AndrzejRysuje @MuciPuciPuci Nie wierzę, bez zaświadczenia od proboszcza?",0
@daria_utf I chyba wtedy byś niezaprzeczyla?,0
@kamilkostogrys Tak naprawdę czy będziemy w spadkowej czy mistrzowskiej to i tak czekają nas sparingi.,0
"@typicalpolish Jebać, jebać, nic się nie bać.",1
"@krzysztofbosak Jakiej pracy, ty już pajacu nie wiesz na czym się lansować. Sejm nie pracuje.",1
Kilogramy rozmnażają się przez pączkowanie 😣😖\n#TłustyCzwartek,0
@PKOBP @RobertChudzik Nie działają i lepiej działać szybko bo klienci nie maja dostępu do środków na kontach,0
@M_Wawrzynowski @KubaSeweryn @wlodar85 jutro walczycie ? Normalnie rycerze ! A gdzie byliście wcześniej ? A zapomniałem że nie o L chodziło,0
"@michalkarnowski Ale to głupie, rdzennie głupie, bardziej głupie już być nie może",0
@MichalTrelaBlog Szczególnie Vestenicky.Podczas wypożyczenia nic nie pokazał a go wykupili za 500 tys euro 😂👏,0
@krzysztofbosak Już się boję. Postraszy mnie Pan kolegami narodowcami?,0
@gregidzkowski Co nie było blisko? Bo nie rozumiem.,0
@waldek_pan @sirtimon90 A od kiedy komentatorzy na Sky to wyrocznia?,0
@MalgorzataW5 @tvn24 Nazwisko tego babska😁😁😁😁. Bo Wczoraj był na MO😁😁😀,0
"@JNizinkiewicz Zbiera się do kontrataku, dla swojego pryncypala pójdzie w bój, patrityczna dusza,  co nie @PatrykJaki ?",0
@rudy_1408 a w kolejnych fajnie jakby grał na lewej za Sadloka @wislaportal,0
@mzietara7 byłem w pracy ale zaraz odpalam meczyk na yt.Dzięki za walke !!!!:),0
@MarcinhoSE7EN @homa_marek jakie 0 motywacji ? Jest chyba różnica mieć medal albo go niemieć,0
@swagandswagCX Niby nie macie czy niby nie mit? 😂😂,0
@Lobuzica Ja bym był ostrożny😁😁😁A jak ma na imię?,0
@PolsatNewsPL @SzatanStockton @MWszechpolska Tak to jest jak ktoś nie wie do którego lekarza iść najpierw.,0
"@Trusia18 @fuckingminority No nie dziwie się w sumie. Dobrze, że tylko raz dzwonił",0
@gruni88 @AGozdyra Wasz świat? To się w nim zamknijcie i nie wystawiajcie nosa.,0
@spychalski_b @AndrzejDuda Przyjaciół to niech on sobie szuka za swoje prywatne pieniądze. I niech robi z siebie idiotę na własny rachunek.,0
imagine sie komus podobac??? ze ktos sie stara o TWOJA uwage??? can’t relate,0
RT @TypowaFunGirl: imagine sie komus podobac??? ze ktos sie stara o TWOJA uwage??? can’t relate,0
@n_domel @FootBarPL @ZelekZyzynski a Portugalia jak zagrała ?,0
"Pierwsze zdanie: \""Paczka papierosów kosztuje 4 miliardy marek\"".\n#JajoWęża teraz na @TVP_Kultura.",0
@MalgMaj @EkstraStats No to tym bardziej :),0
@l_k_sulla Ja przynajmniej mam profilowe i nie chowam się za awatarem. Ale bohaterów MW na to nie stać i w sumie nic w tym dziwnego.,0
@tvp_info Czego się spodziewać po członku żydowskiego amerykańskiego lobby. Lata na kolanach przed żydami zrobiło swoje.,1
RT @Pawel_Polska_71: @tvp_info Czego się spodziewać po członku żydowskiego amerykańskiego lobby. Lata na kolanach przed żydami zrobiło swoj…,1
@SamPereira_ Co ty człowieku pijesz z rana?,0
@JustaBlaszczyk @Motomysz82 pewnie narządy też wkrótce sprzeda :D,0
@Jurasmma w zeszłym sezonie to samo pisałeś ?,0
"Picie to przyszłość, piękna i nieznana, szukajcie zapomnienia, próbujcie różnych trunków, łączcie środki psychoaktywne, powodzenia",1
@krzysztofbosak Ale ty jesteś żenujący. Dno metr mułu.,1
"@fromdoncasta91 spoko, nigdy nie daje unfollow aktywnym ludziom, tylko tym, którzy nie piszą nic od miesięcy albo dali mi unfollow",0
"\""- Co to jest tajmlajn na fejsie?\n- Zmarszczki\"".",0
@MarcinhoSE7EN może trzeba chłopaków na crossfit zabierać ?:),0
"@R_A_Ziemkiewicz znacznie bliżej jest mi muzułmanin  czy indus, niż katolicka, łysa swołocz ze wschodu europy, do tego rasistowska",1
Dzisiaj o 18.00 Strefa Kibica w Radiu Akadera. Zapraszamy.,0
@Lukaszsleszynsk Nie powinno być źle o ile się utrzymamy :P,0
@WislaKrakowSA Spokojnie trzeba ta porażkę wziąść na klatę mecz się tak ułożył nie inaczej napewno gorsi dużo my niebyli.,0
@tvp_info Ale się cieszą. Wreszcie koniec i będzie można wypić te.zapasy z plecaka.,0
"@WojtowiczG @PiotrKoszecki Ofertę przedłużenis kontraktu ponoć dostał od Wisły, ale jej nie zaakceptował.",0
Dziś o godz. 20:00 Prezydent RP wygłosi orędzie.,0
RT @prezydentpl: Dziś o godz. 20:00 Prezydent RP wygłosi orędzie.,0
@GreeboKrk myślałem że się przychodzi na stadion dla drużyny a nie na poszczególnych piłkarzy,0
@RafalStary kibicom chodzi raczej o postawe dziennikarzy a nie klubu.,0
"@StanLubicz1190 @krzysztofbosak Nie trzeba Algierczyków, wystarczy kilku polskich katechetów.",0
"@p_kasiura Barcelona z Messim (ta obecna) by taki mecz wygrała 1:0, albo jakiś Suarez by coś wcisnął :P",0
"@mastarosta @DawidWildstein TW Wolfgang, TW Faraon i TW Rycerz,TW Balbina, TW Michał \nKto mieczem wojuje, ten od pochwy ginie",0
@Wixi93 @DamianDukat Zgadza się ale przecież nas niestac żeby komin płacowy zacząć od.carlitosa,0
"@napalonywikary @cietyjezyk @R_A_Ziemkiewicz Low kick, kolano łokieć, blacha na czoło i stara leży",1
"@KatarzynaPawlak Niestety obrazki będą też zielone, czarne i brunatne.",0
Ktoś założył fejkowe konto i ogląda WSZYSTKIE moje story,0
"@wojtek1971w @h_demboveac Życie, zdarza się. Jednak od takiego rzutu wolnego do gola droga dość daleka.",0
@SadykPasza a wydanie 500 tys euro gdy się nie ma pieniędzy nie jest strzałem w kolano ?,0
"@R_A_Ziemkiewicz Wio endekdu, ścierwa, zdrajcy, szubienica",1
"@rk202 nie dziwie się, to było dość cwane :)",0
@magorzataPopow Raczey! Jutro będzie jej odczytywane przez cały dzień ;-),0
"@jakubiak_marek Kto będzie pił te mleko, gdzie będą jeździły tiry, meble, okna ty maly kogucie",0
"@DzSisko @Kardon1986_2 @adamlajewski @kubacimoszko Nie myli się tylko ten, co nic nie robi.",0
Mama będzie mi obcinać włosy boje się,0
@Adrian84916480 @Minela_20 @tvp_info @TheCejrowski No to muszą ci nieźle płacić za wierszówki.,0
@janekx89 czy masz info jakie obecnie Ondrasek ma zarobki w Wiśle?,0
@wislaportal Jaka kwota wykupienia go po roku??,0
@sprytny_lisek @JoankaSW @RyszardPetru Dla kogo pracował? Nie przy śniadaniu bo się udławić można z wrażenia. Poproszę 5 przykładów zatem.,0
"@RafalJuszczyk28 @Lukaszsleszynsk @hanejko_p Widzę, że dalej nie rozumiesz. No nic idę oglądać LM. Pozdro.",0
"@maciejbatog @bratpafnucy jeśli masz TV włączony od 8:00 do 1:00, a reklama pojawia się 3 x na godzinę, po 2 mies. jesteś na granicy obłędu.",0
@RBakiewicz @RuchNarodowy A co o włoskich faszystach i węgierskich nacjonalistach?,0
@michalrachon @tvp_info Dojenie kasy przez rząd\nKompromitacja Morawieckiego w Niemczech\nKaczyński twórca państwa Polskiego w 2016 roku,0
@Kardon1986_2 Jeszcze w nastepnej kolejce pewnie jakis piątek,0
@Marciniak_k @makatsw i oczywiście było pytanie czy nie boi się o przyszłość Wisły 😂 przechodzicie samych siebie,0
"@StarlightMaddie no ja właśnie to samoXD znaczy wiem ze Emre wbija często, bo jego żona jest polką ale no",0
"@e_radziszewska Nic nie mogą. Ale ich brak może spowodować, że strajkujący szybciej się z Sejmu wyniosą.",0
@SzJadczak @WislaKrakowSA @PK_GOV_PL Przecież jak go zamkną to o czym ty będziesz pisał ? Twoje życie straci sens...,0
@Sejmus81 @JustynaKrupa77 To zaraz porobie screeny od momentu od którego jest zablokowane :),0
"@Piechocinski Ktoś przestał słodzić, ktoś kto dużo słodził",0
"@MichaAdamczews1 @PiotrWolosik @janekx89 No to po co się zgodził na klauzule dopiero po zakończeniu przyszłego sezonu, a nie od razu ?",0
"@PrawyPopulista Jest to prawda. Ale MSZ powinien. On pewnie myślał, że jest w Pisowskiej Polsce i wszystkoi wolno.😀😀😀",0
@Mariush8 delikatnie nie po drodze :D,0
@DaveZielinskii @UstawLige No to 0:0 murowane (bo mam też ludzi z Cracovii),0
"@PiotrWolosik Może ogłuszyły go te korki od szampanów, które strzelały po podpisaniu kontraktu Sadloka z Jagiellonią ?",0
"Panie i panowie, totalna porażka @pisorgpl w miastach. \nT O T A L N A \nTo bardzo ważny znak.",0
"RT @jacek_liberski: Panie i panowie, totalna porażka @pisorgpl w miastach. \nT O T A L N A \nTo bardzo ważny znak.",0
@LukKrawczyk @homa_marek @futsalpl @FutsalEkstra ręce opadaj że takich rzeczy ludzie związani z futsalem nie wiedzą.,0
@KatarzynaPawlak @DziadekSafek Przeczytałem wszystko. Fantastycznego ma Pani Dziadka!,0
"@niegrzeczny_zen Na wszystko masz odpowiedź, żyłeś w tych czasach?",0
@JacekCzarnecki1 @LeszekMiller Mr. Czarnecki. To nie hipokryzja tylko zwykła ludzka przyzwoitość. Widać że niektórym obce takie  odruchy.,0
Diego Maradona - Robbie Williams 2:1.,0
@48Yanii @pisorgpl @MularczykIwona Ja nie byłbym taki pewny,0
@JaNeK_4 patrząc kogo biorą to mam wątpliwości czy nie chcą do 1 ligi (nie licząc Marciniaka),0
"@Sorbifer2 To było dawno, jeszcze nie znali fotoszopa",0
"@napalonywikary @78Eres Maly murzyn, silny i zdrowy",1
.@WFrasyniuk pojawił się na TT. To konto to nie fejk. \nDołączajcie :) 💪,0
RT @ObserwatorXY: .@WFrasyniuk pojawił się na TT. To konto to nie fejk. \nDołączajcie :) 💪,0
"W programie Igrzyska wolności w Łodzi śpiewanie pieśni rewolucyjnych,i piosenek z serialu,4 pancerni i pies.",0
@mzietara7 no i w końcu widzę uśmiech :),0
@michalkarnowski Jeszcze was zjemy i wysramy,1
@M_Pasieczny lepszy argument to że ktoś go nie chce bo go nie lubi,0
"@atlaskotow @R_A_Ziemkiewicz Tylko że ten prostak sie nabijał, szydził tak jak ze śmierci Piotra S.",0
@malyy5 Qwa! Wypiłem kawę przed chwilą.Bardzo dobra kawę.Nie chcę jej zwracać. A swoją drogą to świetny środek na wywołanie wymiotów.,0
"Wchodzę w powiadomienia a tu nic, już na 4 tt odpisałem, zaraz wyjebią bana",0
@nxhoranx nataliethere_ oddam szybciutko z powiadomień,0
@Transferyinfo Tak tak jeszcze ktoś w to uwierzy,0
@kubaw92 @MateuszMiga @WislaKrakowSA Tez musze trzymać poziomo tel czytając ten artykuł,0
@WislaLive @HistoriaWisly @WislaKrakowSA Czasy kiedy zacząłem interesować się piłką i Wisłą 😍,0
@PO_Lodzkie Wy narobiliscie 30miliardow dlugow za waszych rzadow #oddajciekase,0
RT @KrzysztofKali17: @PO_Lodzkie Wy narobiliscie 30miliardow dlugow za waszych rzadow #oddajciekase,0
@tvp_info Czy @pisorgpl gotów na taką kolej rzeczy?,0
"@michalkarnowski Tak jak pisdzielstwo ośmiesza policjantów , to już, nikt, nigdy bardziej nie będzie",1
"@MKierwinski A kiedy przestanie wydawać mln na swoich ochroniarzy, tylko zacznie leczyć u psychiatry swoją manię prześladowczą?",1
"@WitoldGlowacki Pierwszy priorytet zadowolić Jarkacza, drugi priorytet ssać kasę wszystkimi otworami,  mają rozdwojenie jaźni",1
@MichalTrelaBlog Huj z wami dziennikarzami. Piłka nożna dla kibiców a nie pseudo dziennikarzy.,1
@MalgorzataW5 E tam! To z miłości do Łodzi😁. I przyjdzie do PiS😁😁,0
"@ashcurlyirwin A ja, ze coś znowu zepsułam xd",0
"Czemu jak zawsze się o kogoś martwię to ja dostaje po dupie, i mean nie wiem",0
"@hookyx kiedy wyjeżdżasz? ja w piątek, co prawda już drugi rok ale moja rodzina nadal reaguje tak samo",0
"@HeelPiTeRo @Jagiellonia1920 @EuropaLeague Ograniczyłbym to do \""Byle nie Ufa\"" :)",0
"@pisorgpl @MRiRW_GOV_PL Święta racja, ale zapytaj Jurgiela o notatki, on wie co spierdolił. Będzie łatwiej.",1
@_kowalskimarian @Ruch11listopada Szczególnie wielka strata za Smoleńsk,0
